,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71,theta_72,theta_73,theta_74,theta_75,theta_76,theta_77,theta_78,theta_79
265,265,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409222167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
266,266,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.692090348464004,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
267,267,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221700657761563,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
268,268,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121293297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
269,269,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552134640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
270,270,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710222148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
271,271,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627776744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
272,272,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380412002923,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
273,273,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234365007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
274,274,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970340078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
275,275,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869627121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
276,276,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764920522864,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
277,277,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.8123928287352817,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
278,278,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880108375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
279,279,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765958967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
280,280,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166711927653,3.932079178564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
281,281,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079188564603,5.008750092921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
282,282,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750102921229,2.716265400827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
283,283,0.0963544778835748,2.505281507968,5.62009346602492,4.574139387735145,1.5319900698722015,5.116298120247568,4.363538852042011,2.9339500180341442,4.52030048027537,1.498665569431566,2.648158969316973,0.4008956920584504,0.4787666671416738,0.83834143592472,5.0801496411658125,6.206998138417188,2.904921836015425,5.906743676092557,2.845737896883823,5.149829821265685,1.2106099804830348,5.23932109596019,4.1647409122167875,3.6920903384640043,0.49221699657761564,0.8288121193297651,2.6210552034640746,1.278710212148646,4.144627766744019,2.3808380312002924,5.237234355007077,2.5415970240078973,2.315869617121388,2.7138764820522865,3.812392818735282,5.217880098375703,2.586765948967102,5.642166701927653,3.932079178564603,5.008750092921229,2.716265410827189,0.19852502958176194,3.20515049273576,6.073811552682162,1.0028922290297808,0.4003459602660105,4.56950351850307,1.1423441437069408,1.1587357183172848,0.8353253592198089,1.288905422458902,0.7666045659378183,5.228475789718657,1.899029602376323,5.3940394610380125,5.994753803964131,2.774468458748309,2.953182577131642,5.42588328534706,2.4683791192660527,3.310357420856609,1.059298963971138,2.4084908525127102,4.483788927601246,6.152944107670827,6.1620954420924985,0.0177047126710978,4.253097247269648,2.1032516046070837,4.230120375532365,3.156608839691473,6.228446284853655,0.9432631540510159,1.2713958792653044,5.245440871644946,3.1860498658119685,1.686229614722129,0.38114632547726707,5.734764811445104,0.952106801355228,1.1127198962583278
