,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47
10,10,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203417383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
11,11,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.350857592856817,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
12,12,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215718885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
13,13,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728636804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
14,14,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877425660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
15,15,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.7115115945340795,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
16,16,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758518347152,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
17,17,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056846231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
18,18,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178815614358,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
19,19,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474195429332,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
20,20,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011773686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
21,21,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184829605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
22,22,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688853290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
23,23,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984946355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
24,24,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132424895833,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
25,25,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245679710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
26,26,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637881063430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
27,27,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635562196103,1.6212988136633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
28,28,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988236633883,0.0024125188205253944,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
29,29,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125288205253943,1.3374728582904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
30,30,0.2728426792005665,0.6836664777316512,4.4840118287998845,6.281234528104587,0.3502271599914009,5.394996174813222,1.6710233042310951,0.4825543290019878,4.11512349293619,0.879141956173243,5.673203407383283,4.3508575828568175,1.4220215618885896,0.8425728536804145,2.981877415660363,4.71151158453408,1.1215758418347153,1.390056836231411,1.4494178715614359,0.5840474095429331,4.202011763686123,4.959184819605462,5.539688843290852,3.421984936355846,2.9338132324895834,6.263245669710414,0.6637880963430857,1.9112635462196104,1.6212988136633883,0.0024125188205253944,1.3374728682904833,5.504350279651406,4.033531717923684,5.540495495978314,2.32492542939824,6.121087011560299,1.8683439692649524,3.9345354026346544,5.408093177668885,3.6325513738446102,3.885183368291453,2.0730652321512735,4.406832659189864,1.0030084014795762,1.2448502291302155,5.5586208749921875,4.180568474808299,5.580455317958644,1.3512247174724927
