,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71,theta_72,theta_73,theta_74,theta_75,theta_76,theta_77,theta_78,theta_79
333,333,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034832810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
334,334,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034452589581,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
335,335,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037293061451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
336,336,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904444167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
337,337,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652710066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
338,338,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230447129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
339,339,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348947049678936,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
340,340,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999369096678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
341,341,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530581631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
342,342,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524231691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
343,343,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516357176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
344,344,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652866187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
345,345,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584180889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
346,346,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262616063175,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
347,347,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.128061910255918,3.388647873351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
348,348,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647883351499,2.734773974062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
349,349,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773984062396,4.670034969440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
350,350,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034979440668,4.55310339034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
351,351,0.056837763276542407,4.829577380556803,2.3931586236456703,4.535983866265756,4.4846200710862805,0.10382554958684234,4.700452154066062,2.3813057168967524,1.187813770735924,0.25034831810915764,1.1331034352589582,2.8037292961451525,0.06904443167685223,4.667652700066548,3.527230437129926,2.3348946949678937,1.7999368996678988,3.88530580631109,4.250524221691666,3.5388516257176867,6.165652856187216,2.5253584080889637,1.8919262516063176,6.1280619002559185,3.388647873351499,2.734773974062396,4.670034969440668,4.55310340034689,1.1579332570778305,0.72144341620913,5.117183591913151,3.1331200651145124,4.530381637360279,6.132206816684549,3.520891073223203,3.4658984275858624,5.37687973549072,3.831398561758044,2.933452324890007,2.7159819554267943,2.370647984591701,5.133256379758922,4.213872988969877,2.432295247280706,1.1715349260480241,4.110652844007615,3.282262930391674,2.401051024408974,4.761537580069428,0.9855225433444801,3.4390254853079996,4.421488132904702,4.163111738470523,2.035492899820241,4.458929437727506,1.6778767607574123,0.4022484601565997,6.092251643745318,2.3714615043009446,4.331222971473789,3.302375438254108,5.9196184379363475,1.7404604922544356,4.173898190058544,4.037476826398452,4.1069387369676,3.1438730531689765,3.17029000679011,2.254310302967501,6.019767740555383,0.0511775623514484,4.595624694907391,0.3487711878417735,5.458999602524215,3.3051752508432974,3.6197731050821105,1.8871100468631072,0.9882325187233824,0.657193417656751,3.144565578362253,1.6476618088614488
