,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47
10,10,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415115457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
11,11,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430604601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
12,12,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321723950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
13,13,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741337093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
14,14,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398586528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
15,15,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771691150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
16,16,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527739028869993,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
17,17,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901572762716,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
18,18,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246320077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
19,19,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424722523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
20,20,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340500015450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
21,21,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357953567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
22,22,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759839225186,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
23,23,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540497086004,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
24,24,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119694532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
25,25,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.096708343610331,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
26,26,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947758928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
27,27,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954404228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
28,28,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173183360573,5.197966304810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
29,29,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966314810345,5.28989266709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
30,30,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989267709965,6.1538494613998065,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
31,31,0.14377157711940494,5.566422940607285,0.28421239513460095,4.006722364472469,4.003608413241842,5.958906376318457,2.3280659900336373,0.5911883551311764,1.8466152349764062,4.2565456164963456,4.700415105457602,5.802430594601006,5.129321713950297,5.63741336093358,3.337398576528401,2.603771681150054,1.5527738928869994,3.2590901472762717,2.5592246220077914,4.366424712523333,0.7340499915450467,1.3558357853567384,3.6432759739225187,2.3020540397086005,5.412119684532594,1.0967083336103312,5.178947748928739,2.2573954304228656,2.1545173083360574,5.197966304810345,5.28989266709965,6.153849471399806,4.150479460185569,5.889127356436655,0.5593144465799219,4.738650345815233,1.479389708139629,2.5644873304512044,6.055217963272266,0.5197200244471302,5.555311634780941,4.29105264445407,1.5714770849040867,3.223226756960603,2.099252770913837,1.9496331136101952,3.117460450397862,1.4847350569949678,5.384262747731929
